machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 00:00:00,80.97,3.87,3644.23,6.96,419.03,37.19,,,71.57,,,47.67,4500.9,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 02:00:00,61.25,2.54,3185.1,9.69,418.92,44.75,,,72.68,,,43.33,4502.3,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 04:00:00,76.82,2.31,3225.31,7.69,416.98,43.91,,,67.77,,,42.86,4503.6,7,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 06:00:00,69.14,2.78,3497.2,7.66,408.06,45.04,,,70.25,,,47.75,4504.7,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 08:00:00,78.78,3.96,3110.15,7.66,418.58,41.03,,,80.99,,,41.7,4505.3,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 10:00:00,74.95,3.34,3457.98,7.51,416.4,50.21,,,63.55,,,42.25,4506.0,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 12:00:00,68.66,3.45,3498.44,9.15,416.64,45.49,,,71.73,,,48.01,4506.5,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 14:00:00,71.25,3.78,3061.37,7.73,395.77,49.65,,,86.27,,,40.97,4507.9,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 16:00:00,57.3,2.91,3401.3,6.17,405.09,38.24,,,63.11,,,48.27,4509.0,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 18:00:00,78.96,4.03,2960.03,8.76,418.76,48.68,,,50.29,,,42.42,4510.2,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 20:00:00,87.2,3.44,3252.56,8.82,424.45,39.84,,,58.24,,,42.34,4510.7,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-01 22:00:00,67.65,3.85,3036.11,8.26,410.54,42.7,,,72.28,,,45.17,4512.2,6,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 00:00:00,71.7,2.4,3183.11,8.46,414.26,43.48,,,70.86,,,47.42,4513.5,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 02:00:00,84.58,3.19,3371.42,8.35,401.5,41.57,,,88.91,,,44.05,4514.2,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 04:00:00,57.64,3.95,3481.49,9.23,413.02,47.6,,,81.72,,,52.16,4514.9,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 06:00:00,76.03,4.74,2616.52,10.14,413.93,44.93,,,84.97,,,39.93,4515.6,7,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 08:00:00,85.39,4.05,2982.0,7.0,411.75,32.81,,,74.87,,,56.88,4516.4,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 10:00:00,66.96,4.09,3539.07,10.66,421.82,51.23,,,68.3,,,50.02,4517.4,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 12:00:00,67.66,1.7,3200.03,10.07,416.31,47.13,,,86.14,,,46.18,4518.4,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 14:00:00,82.63,2.83,3192.07,8.06,412.07,50.4,,,69.14,,,47.96,4519.2,8,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 16:00:00,63.27,3.66,3448.19,8.76,417.47,42.09,,,68.91,,,36.56,4520.3,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 18:00:00,78.9,1.87,2587.38,9.97,420.38,41.35,,,67.17,,,38.22,4520.9,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 20:00:00,75.0,3.5,2951.03,9.21,408.95,39.93,,,83.17,,,43.69,4521.7,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-02 22:00:00,81.08,2.77,3447.48,9.1,410.19,42.6,,,72.15,,,43.89,4522.6,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 00:00:00,70.98,2.82,2779.81,9.73,406.63,45.66,,,77.5,,,54.07,4523.5,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 02:00:00,84.29,3.16,3208.96,6.59,413.69,42.17,,,69.35,,,46.93,4524.8,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 04:00:00,68.92,3.45,2684.62,7.32,416.24,39.37,,,94.72,,,49.67,4525.5,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 06:00:00,60.21,3.83,3065.23,8.23,410.49,46.51,,,91.86,,,44.88,4526.5,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 08:00:00,59.67,2.02,3481.89,9.66,421.24,41.67,,,71.79,,,41.28,4527.6,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 10:00:00,63.27,4.04,2734.84,10.53,419.19,44.32,,,61.84,,,47.7,4528.2,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 12:00:00,77.41,3.73,3120.11,9.22,410.24,35.96,,,72.21,,,45.66,4529.3,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 14:00:00,65.99,2.85,3421.8,7.79,409.8,37.36,,,100.0,,,46.92,4529.9,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 16:00:00,71.85,4.05,2984.21,8.32,407.74,38.66,,,75.44,,,43.83,4530.5,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 18:00:00,72.73,1.43,3282.07,7.53,412.64,41.98,,,57.37,,,38.73,4531.9,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 20:00:00,65.8,3.27,3653.82,7.73,422.43,38.65,,,68.99,,,55.83,4533.4,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-03 22:00:00,73.25,2.54,3381.71,7.52,410.36,42.31,,,66.31,,,41.57,4534.7,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 00:00:00,79.53,2.06,3252.86,9.06,417.63,39.25,,,86.83,,,44.38,4535.5,6,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 02:00:00,72.29,1.62,3601.23,8.91,414.99,52.59,,,62.03,,,47.53,4536.1,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 04:00:00,79.35,3.73,3236.58,9.67,406.05,46.02,,,86.42,,,36.07,4537.3,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 06:00:00,68.98,3.61,3166.59,8.68,419.15,41.34,,,63.53,,,51.88,4538.3,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 08:00:00,74.12,4.3,2936.18,7.93,412.32,48.4,,,69.32,,,40.6,4538.9,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 10:00:00,72.78,3.77,3412.41,9.0,411.95,44.29,,,66.46,,,49.42,4539.9,6,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 12:00:00,80.59,2.81,3710.74,9.85,414.81,42.31,,,58.03,,,38.01,4540.4,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 14:00:00,75.4,5.81,2666.0,9.16,413.41,37.8,,,68.76,,,48.35,4541.8,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 16:00:00,66.86,4.11,2989.72,10.02,419.79,42.94,,,79.4,,,35.46,4542.6,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 18:00:00,75.9,1.95,3178.89,8.72,411.81,41.78,,,63.43,,,51.42,4543.7,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 20:00:00,64.35,2.97,2981.4,6.69,416.0,49.92,,,75.42,,,46.83,4544.5,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-04 22:00:00,75.23,3.33,3399.65,9.42,417.5,34.85,,,51.85,,,46.22,4545.6,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 00:00:00,71.76,2.84,3354.58,9.37,409.38,41.9,,,71.47,,,49.4,4546.6,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 02:00:00,73.2,5.15,3300.94,10.45,415.18,38.78,,,75.97,,,40.25,4547.3,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 04:00:00,71.68,2.81,3659.19,7.47,410.31,40.53,,,72.38,,,41.68,4548.8,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 06:00:00,67.13,2.71,3280.93,8.69,417.22,38.39,,,96.41,,,39.11,4550.0,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 08:00:00,66.14,3.84,3065.62,8.63,402.65,42.1,,,66.91,,,39.58,4551.5,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 10:00:00,80.64,3.22,2912.64,8.13,421.46,35.64,,,63.06,,,46.81,4552.9,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 12:00:00,87.06,2.88,3319.36,6.69,412.45,41.35,,,77.72,,,44.37,4554.0,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 14:00:00,74.17,5.27,2919.44,7.99,415.73,46.9,,,68.38,,,37.15,4555.4,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 16:00:00,72.25,4.64,3385.44,8.11,416.17,43.36,,,61.1,,,44.99,4556.0,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 18:00:00,62.18,1.69,3080.34,7.9,412.38,43.77,,,49.04,,,46.63,4556.7,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 20:00:00,57.93,4.97,2689.34,8.89,411.74,46.55,,,82.04,,,48.18,4557.2,0,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-05 22:00:00,59.14,2.92,3453.84,10.3,415.92,46.05,,,75.8,,,51.73,4558.1,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 00:00:00,76.25,4.23,3342.4,9.3,421.18,37.9,,,87.61,,,41.62,4558.9,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 02:00:00,57.8,5.08,3399.57,7.41,417.32,45.76,,,76.73,,,48.56,4559.7,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 04:00:00,77.27,3.91,2811.59,9.63,412.89,40.53,,,78.33,,,44.57,4561.0,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 06:00:00,63.22,5.38,3533.11,9.76,421.42,47.87,,,83.91,,,46.67,4561.9,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 08:00:00,73.28,3.95,3664.35,9.11,423.46,46.27,,,83.39,,,53.04,4562.7,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 10:00:00,68.74,3.73,2955.72,10.37,413.57,39.89,,,77.59,,,39.75,4563.7,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 12:00:00,63.51,4.11,3297.98,8.21,416.38,35.48,,,75.47,,,51.57,4564.4,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 14:00:00,60.92,1.86,3102.23,11.03,416.76,45.83,,,69.18,,,50.82,4565.7,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 16:00:00,58.21,2.9,3097.18,8.74,422.78,43.0,,,56.7,,,42.54,4566.2,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 18:00:00,63.34,2.03,3268.14,5.63,418.32,47.47,,,75.57,,,48.53,4567.7,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 20:00:00,89.79,2.92,3052.92,11.07,419.68,42.62,,,66.94,,,44.32,4569.0,2,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-06 22:00:00,82.43,3.55,3156.99,7.02,424.25,40.33,,,83.8,,,37.25,4569.7,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 00:00:00,73.45,2.95,3695.4,8.28,416.13,37.43,,,75.02,,,41.83,4570.2,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 02:00:00,69.07,2.96,2878.3,7.88,418.22,38.78,,,74.69,,,43.74,4571.5,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 04:00:00,67.31,1.74,3284.53,8.07,416.46,49.14,,,87.36,,,48.02,4572.7,3,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 06:00:00,72.88,2.58,3774.31,8.4,414.64,41.8,,,77.18,,,38.56,4574.0,5,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 08:00:00,67.43,4.77,3212.76,9.56,408.24,46.49,,,67.09,,,42.51,4575.2,4,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 10:00:00,67.38,2.54,3379.56,8.95,409.57,37.59,,,69.18,,,40.96,4575.8,1,0,None
CNC_L1_001,Metal Processing,CNC Machine,2026-01-07 12:00:00,75.89,2.76,3010.45,8.39,407.24,35.5,,,55.24,,,44.44,4576.7,2,0,None
