machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
COMP_L3_001,Finishing,Compressor,2026-01-01 00:00:00,80.99,2.84,1835.45,8.59,,,6.6,,97.92,,,,4500.7,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 02:00:00,72.4,3.92,1694.49,6.74,,,8.12,,66.84,,,,4502.2,4,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 04:00:00,69.15,4.25,1624.04,7.91,,,7.88,,81.68,,,,4503.2,4,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 06:00:00,62.97,6.41,1892.92,8.55,,,6.38,,70.75,,,,4504.6,5,1,Mechanical Failure
COMP_L3_001,Finishing,Compressor,2026-01-01 08:00:00,66.82,2.95,1742.15,9.07,,,7.94,,73.95,,,,4506.0,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 10:00:00,75.69,3.7,1912.16,8.28,,,7.44,,79.14,,,,4506.7,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 12:00:00,59.76,5.0,1682.57,8.61,,,7.81,,79.51,,,,4507.8,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 14:00:00,48.69,3.02,1842.11,9.46,,,7.68,,69.35,,,,4509.1,0,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 16:00:00,62.83,2.94,1682.72,8.43,,,4.71,,78.52,,,,4510.3,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 18:00:00,67.2,3.25,1735.38,7.48,,,9.74,,65.48,,,,4511.1,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 20:00:00,65.87,2.13,1848.68,8.35,,,7.82,,64.64,,,,4512.0,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-01 22:00:00,66.33,5.21,1602.48,7.34,,,6.88,,63.21,,,,4512.6,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 00:00:00,59.05,3.13,1799.72,6.81,,,6.74,,75.76,,,,4513.4,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 02:00:00,67.94,1.12,1819.94,7.73,,,7.67,,75.4,,,,4514.3,5,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 04:00:00,70.34,3.63,1903.74,7.68,,,7.24,,81.43,,,,4515.6,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 06:00:00,72.82,4.72,1733.9,6.95,,,7.44,,65.08,,,,4516.7,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 08:00:00,67.89,3.42,1742.7,8.91,,,6.47,,95.69,,,,4517.9,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 10:00:00,60.73,3.87,1725.47,9.07,,,7.22,,76.5,,,,4518.9,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 12:00:00,85.45,4.63,1690.73,7.95,,,7.35,,68.7,,,,4519.5,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 14:00:00,79.31,3.92,1538.09,8.83,,,8.54,,67.4,,,,4520.3,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 16:00:00,66.32,4.73,1795.73,5.9,,,7.98,,68.83,,,,4521.0,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 18:00:00,53.96,2.21,1843.05,8.49,,,7.69,,89.56,,,,4522.0,6,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 20:00:00,73.42,2.95,1755.75,9.57,,,8.76,,81.17,,,,4523.0,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-02 22:00:00,64.78,4.11,1702.08,9.83,,,5.98,,71.17,,,,4524.1,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 00:00:00,61.86,5.19,1769.91,6.98,,,6.39,,64.28,,,,4524.8,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 02:00:00,68.86,1.58,1717.72,7.63,,,7.62,,73.84,,,,4525.8,3,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 04:00:00,62.53,2.35,1831.81,7.64,,,6.96,,77.82,,,,4526.5,1,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 06:00:00,52.11,2.16,1813.68,8.43,,,6.7,,74.66,,,,4527.7,4,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 08:00:00,65.97,4.13,1811.49,7.98,,,7.17,,71.08,,,,4528.7,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 10:00:00,60.33,3.12,1767.23,7.52,,,6.2,,86.82,,,,4529.3,8,1,Mechanical Failure
COMP_L3_001,Finishing,Compressor,2026-01-03 12:00:00,72.23,3.48,1701.68,7.14,,,8.15,,71.55,,,,4530.7,2,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 14:00:00,68.47,3.66,1885.39,7.16,,,7.8,,62.87,,,,4531.8,0,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 16:00:00,72.18,5.36,1606.57,8.33,,,6.47,,77.75,,,,4532.5,0,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 18:00:00,62.93,3.09,1942.26,9.21,,,7.67,,84.35,,,,4533.5,6,0,None
COMP_L3_001,Finishing,Compressor,2026-01-03 20:00:00,69.93,3.83,1673.79,7.73,,,6.88,,73.69,,,,4534.1,3,0,None
