machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 00:00:00,51.56,2.33,1403.99,7.91,411.8,,,,78.51,,,33.33,4500.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 02:00:00,58.97,3.55,1411.08,5.92,425.39,,,,46.04,,,38.69,4501.5,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 04:00:00,52.09,0.95,1385.03,5.42,414.68,,,,83.49,,,32.46,4502.7,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 06:00:00,55.07,3.73,1323.26,5.23,418.45,,,,50.46,,,30.19,4504.1,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 08:00:00,47.59,2.64,1411.09,5.77,412.18,,,,84.74,,,33.02,4504.9,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 10:00:00,62.21,3.17,1325.85,5.51,416.16,,,,83.17,,,31.01,4505.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 12:00:00,52.59,3.77,1506.95,6.21,405.14,,,,42.97,,,28.91,4506.1,8,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 14:00:00,60.87,1.43,1517.65,7.19,419.31,,,,66.65,,,28.65,4506.8,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 16:00:00,56.26,3.14,1258.78,5.51,421.35,,,,58.87,,,29.16,4507.9,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 18:00:00,58.89,1.36,1509.91,7.53,415.78,,,,71.61,,,33.64,4508.6,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 20:00:00,57.72,2.09,1556.9,6.54,401.69,,,,74.64,,,29.83,4510.1,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-01 22:00:00,51.14,2.77,1515.93,5.3,413.08,,,,64.65,,,31.96,4511.0,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 00:00:00,57.11,3.36,1498.58,4.29,418.32,,,,69.06,,,33.55,4511.8,1,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 02:00:00,63.46,1.4,1476.48,4.28,413.46,,,,71.78,,,35.47,4512.6,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 04:00:00,61.6,2.54,1452.69,7.69,417.61,,,,78.17,,,25.42,4513.3,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 06:00:00,45.48,1.59,1520.0,4.4,422.08,,,,82.97,,,29.98,4514.7,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 08:00:00,53.91,3.72,1247.76,3.36,412.45,,,,65.6,,,34.58,4515.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 10:00:00,47.48,2.28,1345.43,4.73,413.51,,,,58.55,,,37.29,4516.8,0,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 12:00:00,50.07,2.45,1420.54,6.41,415.64,,,,77.34,,,35.51,4518.2,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 14:00:00,57.87,3.13,1612.91,5.68,420.62,,,,64.16,,,27.21,4519.2,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 16:00:00,74.0,3.73,1554.38,5.46,418.22,,,,65.21,,,28.17,4520.2,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 18:00:00,44.13,3.02,1523.85,4.44,409.34,,,,82.91,,,32.84,4520.8,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 20:00:00,59.82,3.23,1505.39,6.23,414.06,,,,50.4,,,18.6,4522.2,4,1,Mechanical Failure
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-02 22:00:00,55.12,1.63,1404.95,6.03,409.8,,,,59.64,,,33.65,4523.3,1,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 00:00:00,50.43,2.33,1578.27,4.56,413.93,,,,53.68,,,28.03,4524.0,0,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 02:00:00,55.45,2.83,1392.86,6.19,415.47,,,,62.06,,,31.85,4525.1,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 04:00:00,57.09,3.21,1428.25,6.89,414.53,,,,66.01,,,26.87,4526.3,8,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 06:00:00,48.25,1.78,1532.68,2.99,412.36,,,,52.82,,,32.56,4527.6,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 08:00:00,51.67,3.49,1581.21,3.43,411.51,,,,47.96,,,28.02,4528.7,7,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 10:00:00,63.12,3.21,1594.86,6.44,414.03,,,,72.5,,,25.09,4529.3,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 12:00:00,58.78,2.35,1480.76,3.18,407.47,,,,66.34,,,34.26,4529.9,3,1,Mechanical Failure
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 14:00:00,59.44,3.19,1484.3,7.4,419.37,,,,68.64,,,28.01,4530.4,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 16:00:00,55.44,3.26,1490.61,5.62,409.95,,,,59.52,,,32.14,4531.3,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 18:00:00,60.65,1.48,1488.83,7.34,415.43,,,,62.6,,,34.86,4532.0,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 20:00:00,55.13,3.23,1411.89,7.08,416.11,,,,74.8,,,31.42,4532.7,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-03 22:00:00,55.33,2.34,1394.55,5.48,420.9,,,,52.9,,,34.8,4533.9,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 00:00:00,50.25,1.92,1370.87,5.75,409.44,,,,38.02,,,24.58,4534.7,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 02:00:00,56.04,2.87,1348.33,6.16,411.61,,,,87.49,,,33.0,4536.2,5,1,Mechanical Failure
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 04:00:00,65.45,2.19,1435.77,5.93,418.67,,,,61.37,,,28.33,4537.2,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 06:00:00,50.35,1.67,1431.96,4.9,409.25,,,,68.5,,,25.62,4538.6,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 08:00:00,49.5,1.15,1422.51,7.35,413.17,,,,65.5,,,28.38,4539.6,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 10:00:00,59.61,3.51,1365.76,6.37,404.7,,,,91.8,,,29.1,4540.4,3,1,Mechanical Failure
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 12:00:00,61.82,4.15,1522.82,5.55,412.2,,,,50.88,,,31.62,4541.3,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 14:00:00,54.54,3.19,1462.16,5.02,412.71,,,,71.62,,,37.1,4542.6,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 16:00:00,58.98,2.94,1462.21,5.55,417.64,,,,57.71,,,29.97,4543.9,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 18:00:00,63.44,1.98,1464.26,6.36,413.25,,,,73.17,,,33.75,4545.0,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 20:00:00,57.96,3.72,1490.67,6.41,403.95,,,,55.33,,,32.82,4545.8,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-04 22:00:00,62.58,3.1,1375.91,5.38,409.33,,,,61.56,,,31.16,4546.6,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 00:00:00,46.88,1.97,1316.49,6.6,420.06,,,,51.24,,,33.01,4548.1,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 02:00:00,58.09,2.16,1252.86,5.93,421.9,,,,50.79,,,28.36,4549.2,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 04:00:00,45.2,1.77,1363.7,6.54,409.46,,,,52.37,,,26.66,4550.3,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 06:00:00,63.61,2.58,1449.94,7.13,413.27,,,,66.17,,,25.95,4551.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 08:00:00,54.58,2.13,1429.12,5.52,414.63,,,,45.34,,,29.15,4552.6,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 10:00:00,63.74,2.0,1573.27,6.2,422.46,,,,67.65,,,34.34,4553.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 12:00:00,51.6,3.22,1377.21,6.18,419.3,,,,54.81,,,27.71,4554.0,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 14:00:00,66.55,3.05,1469.59,5.08,416.36,,,,61.3,,,29.04,4554.7,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 16:00:00,69.76,2.71,1484.83,5.85,413.01,,,,77.11,,,20.71,4555.5,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 18:00:00,55.56,3.09,1448.3,5.36,416.73,,,,51.97,,,31.17,4556.0,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 20:00:00,60.17,3.31,1299.17,5.98,420.32,,,,64.71,,,30.24,4556.8,1,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-05 22:00:00,57.5,2.64,1345.61,7.75,420.4,,,,78.97,,,30.62,4557.3,5,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 00:00:00,44.38,2.69,1421.26,7.12,414.31,,,,70.09,,,30.09,4557.9,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 02:00:00,52.4,0.74,1406.93,7.15,407.96,,,,53.17,,,29.54,4558.6,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 04:00:00,69.26,2.05,1251.15,4.85,403.74,,,,58.03,,,28.93,4559.1,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 06:00:00,53.27,2.19,1359.26,4.35,419.29,,,,52.04,,,33.39,4559.6,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 08:00:00,48.9,1.51,1414.8,6.32,416.77,,,,45.08,,,28.84,4560.2,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 10:00:00,68.53,3.12,1403.96,4.89,416.18,,,,39.3,,,38.28,4560.9,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 12:00:00,63.32,1.17,1375.3,4.74,412.43,,,,48.15,,,28.55,4561.7,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 14:00:00,43.75,2.37,1500.29,4.76,416.55,,,,49.02,,,32.61,4562.5,0,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 16:00:00,69.71,3.89,1328.02,5.37,410.18,,,,67.58,,,34.48,4563.0,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 18:00:00,56.09,2.26,1325.91,8.0,411.96,,,,62.53,,,35.02,4563.9,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 20:00:00,68.4,1.93,1623.97,6.71,416.54,,,,64.28,,,32.53,4565.1,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-06 22:00:00,52.75,2.68,1528.6,5.6,414.51,,,,47.07,,,36.46,4566.5,4,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 00:00:00,66.59,3.79,1385.55,6.3,411.53,,,,30.13,,,32.49,4567.2,3,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 02:00:00,47.07,3.4,1517.51,6.52,403.65,,,,88.35,,,37.73,4568.0,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 04:00:00,60.14,4.03,1735.92,5.34,417.51,,,,47.34,,,31.22,4568.6,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 06:00:00,64.09,2.69,1374.31,6.48,412.1,,,,49.46,,,27.23,4569.2,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 08:00:00,56.85,1.87,1355.44,5.79,411.81,,,,41.88,,,30.44,4570.7,0,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 10:00:00,53.54,1.09,1498.05,8.11,412.83,,,,84.51,,,31.57,4571.7,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 12:00:00,59.8,2.18,1555.76,4.57,409.48,,,,40.84,,,28.63,4572.5,1,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 14:00:00,62.19,3.12,1219.67,5.6,419.33,,,,54.4,,,32.32,4573.7,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 16:00:00,58.53,3.8,1372.9,7.7,413.66,,,,50.63,,,30.34,4574.6,1,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 18:00:00,48.46,1.93,1412.67,5.45,412.05,,,,68.34,,,29.88,4575.7,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 20:00:00,49.67,2.41,1552.9,6.71,415.17,,,,54.35,,,32.06,4576.2,8,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-07 22:00:00,58.79,2.15,1423.13,5.38,411.7,,,,54.29,,,21.18,4577.7,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 00:00:00,68.75,2.84,1657.61,8.08,417.11,,,,54.03,,,30.6,4578.4,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 02:00:00,60.84,3.34,1456.26,5.57,412.48,,,,81.01,,,23.73,4579.4,3,1,Mechanical Failure
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 04:00:00,61.77,2.99,1351.43,5.6,419.45,,,,84.32,,,33.11,4580.3,0,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 06:00:00,60.24,3.66,1279.81,5.5,409.85,,,,43.5,,,34.87,4581.2,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 08:00:00,54.55,1.46,1482.55,6.99,418.16,,,,70.62,,,24.39,4581.8,2,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 10:00:00,49.29,2.45,1483.28,5.2,412.42,,,,78.39,,,28.7,4582.9,6,0,None
CONVEYOR_L2_001,Component Assembly,Conveyor System,2026-01-08 12:00:00,53.94,2.93,1583.0,5.89,409.98,,,,42.79,,,29.12,4584.3,5,0,None
