machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
COOL_L3_001,Finishing,Cooling System,2026-01-01 00:00:00,46.94,1.61,,5.72,407.2,,3.03,86.84,,,,,4501.1,6,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 02:00:00,38.4,2.35,,4.9,414.38,,2.95,72.0,,,,,4501.6,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 04:00:00,49.96,1.7,,5.11,416.02,,4.41,66.33,,,,,4502.9,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 06:00:00,47.44,1.76,,4.72,408.22,,4.39,79.36,,,,,4503.5,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 08:00:00,45.53,2.18,,2.4,422.49,,3.68,76.12,,,,,4504.9,4,1,Mechanical Failure
COOL_L3_001,Finishing,Cooling System,2026-01-01 10:00:00,38.49,2.04,,5.66,413.83,,3.08,70.39,,,,,4505.8,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 12:00:00,45.1,1.55,,4.88,415.89,,3.39,89.36,,,,,4506.8,5,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 14:00:00,37.3,2.2,,4.79,413.22,,3.64,82.61,,,,,4508.1,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 16:00:00,42.85,2.32,,4.2,415.25,,3.09,70.9,,,,,4509.0,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 18:00:00,39.81,1.95,,6.08,413.58,,3.5,56.64,,,,,4510.1,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 20:00:00,34.53,2.41,,5.34,409.47,,4.63,81.46,,,,,4511.2,7,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-01 22:00:00,54.14,2.67,,4.87,409.24,,3.66,85.14,,,,,4512.7,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 00:00:00,43.03,1.98,,4.96,405.86,,3.7,93.26,,,,,4513.8,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 02:00:00,43.95,1.37,,4.31,416.14,,3.11,66.08,,,,,4514.9,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 04:00:00,40.56,1.51,,4.5,418.26,,3.19,74.73,,,,,4515.6,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 06:00:00,45.66,1.77,,5.88,418.58,,2.88,98.22,,,,,4516.5,0,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 08:00:00,40.99,1.3,,4.03,417.17,,3.89,71.1,,,,,4517.4,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 10:00:00,47.89,1.47,,4.67,422.9,,3.76,74.04,,,,,4518.7,4,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 12:00:00,49.93,1.36,,5.49,416.7,,3.53,91.48,,,,,4519.7,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 14:00:00,46.18,1.92,,5.97,421.13,,4.23,69.36,,,,,4520.6,4,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 16:00:00,46.72,1.96,,4.22,411.34,,3.94,97.91,,,,,4521.3,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 18:00:00,34.81,1.33,,5.68,405.01,,3.64,87.36,,,,,4521.8,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 20:00:00,49.7,1.88,,5.6,412.24,,3.57,76.19,,,,,4523.1,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-02 22:00:00,40.03,2.23,,5.31,422.68,,3.41,61.3,,,,,4523.7,5,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 00:00:00,47.15,2.26,,4.84,414.17,,3.68,70.86,,,,,4524.4,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 02:00:00,36.32,1.94,,5.71,415.6,,4.32,75.77,,,,,4525.1,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 04:00:00,37.42,2.15,,5.53,414.19,,3.31,84.03,,,,,4525.7,4,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 06:00:00,44.99,2.46,,4.37,416.24,,3.37,75.94,,,,,4526.5,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 08:00:00,41.66,1.42,,5.44,419.72,,3.52,75.32,,,,,4527.4,4,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 10:00:00,38.07,1.53,,5.81,421.56,,4.15,75.68,,,,,4528.0,6,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 12:00:00,44.4,2.17,,4.24,420.36,,3.29,65.54,,,,,4528.7,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 14:00:00,44.25,2.03,,3.18,412.3,,4.01,86.97,,,,,4530.2,0,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 16:00:00,40.77,1.93,,5.09,417.76,,3.25,88.32,,,,,4530.8,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 18:00:00,32.99,1.91,,4.41,406.29,,3.52,84.19,,,,,4531.6,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 20:00:00,51.01,1.44,,6.62,415.92,,3.87,88.7,,,,,4532.5,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-03 22:00:00,37.22,1.44,,5.12,414.31,,4.2,84.16,,,,,4533.6,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 00:00:00,32.88,2.4,,4.04,423.65,,3.12,77.56,,,,,4534.1,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 02:00:00,49.68,2.38,,6.11,416.02,,3.02,96.95,,,,,4535.4,3,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 04:00:00,43.21,1.82,,5.11,420.34,,3.93,73.84,,,,,4536.8,8,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 06:00:00,49.02,1.43,,5.71,415.03,,2.64,75.56,,,,,4537.5,1,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 08:00:00,41.38,2.22,,4.96,423.47,,3.02,70.71,,,,,4538.4,2,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 10:00:00,38.88,1.37,,5.89,412.38,,3.57,64.97,,,,,4539.7,4,0,None
COOL_L3_001,Finishing,Cooling System,2026-01-04 12:00:00,44.56,2.07,,5.93,402.93,,3.69,87.13,,,,,4541.0,2,0,None
