machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 00:00:00,70.28,5.33,3633.92,10.14,414.42,,,,80.62,,,,4501.0,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 02:00:00,64.56,6.24,3099.74,9.42,421.9,,,,67.99,,,,4502.5,5,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 04:00:00,71.51,4.37,3124.7,9.15,408.82,,,,80.58,,,,4503.3,6,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 06:00:00,77.35,4.15,3902.4,6.95,415.73,,,,63.29,,,,4504.4,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 08:00:00,78.49,3.51,3694.35,11.6,410.96,,,,79.36,,,,4505.3,7,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 10:00:00,67.74,3.81,3373.9,7.26,413.63,,,,56.12,,,,4506.0,1,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 12:00:00,69.94,3.8,3482.04,9.32,404.27,,,,75.06,,,,4506.9,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 14:00:00,56.36,4.64,3814.39,9.21,417.92,,,,69.34,,,,4507.9,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 16:00:00,75.91,4.57,3086.21,9.38,413.27,,,,86.32,,,,4508.5,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 18:00:00,74.26,4.75,3578.61,9.71,409.5,,,,79.49,,,,4509.5,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 20:00:00,66.08,4.13,3302.51,8.28,422.52,,,,82.98,,,,4510.5,0,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-01 22:00:00,69.35,4.92,3256.59,8.4,413.31,,,,90.97,,,,4511.8,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 00:00:00,66.4,5.73,3551.44,8.95,419.69,,,,78.03,,,,4513.1,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 02:00:00,66.72,4.07,3385.18,9.42,413.87,,,,75.17,,,,4513.6,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 04:00:00,68.36,3.71,3409.69,8.06,413.79,,,,82.46,,,,4514.6,5,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 06:00:00,49.54,3.45,3360.17,9.72,411.68,,,,61.84,,,,4515.2,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 08:00:00,102.6,3.03,3653.53,7.57,419.57,,,,87.01,,,,4516.4,2,1,Overheating
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 10:00:00,83.03,3.95,3058.69,10.12,413.56,,,,83.54,,,,4517.1,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 12:00:00,70.9,3.99,3705.73,8.18,411.01,,,,74.8,,,,4518.0,5,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 14:00:00,82.21,3.48,3266.69,7.63,417.35,,,,83.7,,,,4518.5,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 16:00:00,80.02,6.16,3066.26,9.46,418.44,,,,64.3,,,,4519.5,0,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 18:00:00,87.02,3.49,3639.57,6.91,410.81,,,,87.49,,,,4520.7,0,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 20:00:00,72.56,3.14,3277.7,10.56,422.0,,,,58.79,,,,4521.7,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-02 22:00:00,79.04,4.64,3215.06,7.39,421.67,,,,89.49,,,,4522.9,1,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 00:00:00,72.18,3.96,3357.06,12.62,407.16,,,,67.26,,,,4523.9,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 02:00:00,76.3,5.08,3402.19,12.65,414.32,,,,78.35,,,,4525.2,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 04:00:00,67.28,3.79,3670.91,7.8,420.25,,,,78.14,,,,4526.1,1,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 06:00:00,79.71,6.27,3615.29,10.28,419.55,,,,62.02,,,,4527.2,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 08:00:00,88.14,4.0,3594.52,9.83,412.27,,,,90.71,,,,4527.7,2,1,Mechanical Failure
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 10:00:00,65.19,3.46,3653.79,10.25,414.65,,,,69.69,,,,4529.2,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 12:00:00,79.41,5.61,3788.75,7.15,414.81,,,,87.07,,,,4530.6,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 14:00:00,80.33,4.65,3176.88,10.32,416.18,,,,84.28,,,,4531.4,2,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 16:00:00,58.27,4.95,3716.66,10.43,423.84,,,,70.41,,,,4532.2,1,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 18:00:00,75.12,4.79,3686.52,9.29,412.22,,,,89.48,,,,4533.3,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 20:00:00,86.86,3.53,3381.43,5.19,421.61,,,,91.33,,,,4534.3,3,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-03 22:00:00,77.0,3.07,3762.83,7.05,423.97,,,,82.26,,,,4534.8,6,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-04 00:00:00,64.38,0.74,3508.88,10.86,419.81,,,,89.44,,,,4535.6,5,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-04 02:00:00,64.71,3.6,3500.97,13.62,423.22,,,,59.94,,,,4536.2,4,0,None
GRIND_L3_001,Finishing,Grinding Machine,2026-01-04 04:00:00,88.12,4.86,3313.99,6.36,418.15,,,,93.28,,,,4536.8,2,0,None
