machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 00:00:00,61.42,2.8,2662.18,7.84,405.09,52.36,,,72.9,,,,4500.5,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 02:00:00,71.92,1.13,3008.85,8.01,422.99,27.18,,,75.01,,,,4501.4,5,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 04:00:00,72.17,2.93,2893.87,7.3,410.24,30.72,,,72.86,,,,4502.0,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 06:00:00,83.52,2.57,2951.39,7.51,416.19,30.22,,,75.34,,,,4503.1,1,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 08:00:00,59.57,2.11,2947.43,6.51,410.65,33.59,,,91.81,,,,4503.6,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 10:00:00,68.75,1.94,3042.85,5.56,423.06,33.99,,,55.68,,,,4505.0,0,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 12:00:00,67.67,4.27,2975.19,8.21,415.59,31.94,,,89.67,,,,4505.9,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 14:00:00,65.76,4.95,3014.5,10.5,411.44,34.93,,,54.22,,,,4507.2,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 16:00:00,64.85,2.28,2825.19,8.68,413.72,34.43,,,76.15,,,,4508.1,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 18:00:00,68.81,4.06,2947.46,7.93,412.8,34.24,,,79.89,,,,4509.0,7,1,Mechanical Failure
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 20:00:00,68.47,3.13,3212.75,6.98,411.59,31.28,,,73.42,,,,4510.5,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-01 22:00:00,71.25,3.06,2929.95,8.18,411.43,38.06,,,91.21,,,,4511.8,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 00:00:00,64.16,2.49,2807.86,9.06,405.81,34.68,,,64.96,,,,4513.1,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 02:00:00,62.29,2.7,3060.26,6.97,420.05,27.16,,,78.8,,,,4514.0,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 04:00:00,76.65,3.15,2997.07,6.92,409.39,39.56,,,69.07,,,,4515.3,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 06:00:00,49.12,2.28,3032.91,5.36,415.35,35.4,,,77.12,,,,4516.2,6,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 08:00:00,75.63,3.56,2673.24,7.69,407.47,35.75,,,75.08,,,,4517.2,4,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 10:00:00,69.06,4.22,2778.52,7.01,419.87,38.72,,,83.75,,,,4518.4,6,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 12:00:00,70.78,3.04,2806.84,5.98,415.01,36.96,,,87.36,,,,4519.2,8,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 14:00:00,60.99,3.82,2814.78,7.36,413.76,34.26,,,89.54,,,,4519.9,5,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 16:00:00,46.52,3.14,3030.16,6.46,412.03,39.06,,,80.29,,,,4520.5,5,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 18:00:00,75.3,4.02,2858.64,8.36,417.04,50.93,,,79.24,,,,4521.7,6,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 20:00:00,64.34,4.31,2710.47,6.64,412.3,31.95,,,66.82,,,,4523.0,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-02 22:00:00,50.01,2.33,2912.9,7.8,421.39,31.76,,,86.95,,,,4523.9,2,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-03 00:00:00,68.08,2.72,2985.91,7.55,422.19,39.5,,,62.4,,,,4524.7,6,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-03 02:00:00,61.49,2.39,2917.67,5.93,410.33,41.76,,,64.21,,,,4525.4,7,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-03 04:00:00,73.1,3.95,3143.67,7.39,417.49,40.02,,,90.53,,,,4526.2,3,0,None
MOTOR_L2_002,Component Assembly,Industrial Motor,2026-01-03 06:00:00,57.85,4.73,2872.91,7.62,413.12,29.62,,,59.71,,,,4526.8,3,0,None
