machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
POWER_U_001,Utilities,Power System,2026-01-01 00:00:00,53.28,0.4,,30.0,403.65,,,,,49.92,0.937,,4500.7,2,0,None
POWER_U_001,Utilities,Power System,2026-01-01 02:00:00,50.65,1.63,,30.0,421.38,,,,,50.27,0.924,,4502.0,3,0,None
POWER_U_001,Utilities,Power System,2026-01-01 04:00:00,57.74,1.65,,26.42,423.42,,,,,49.95,0.969,,4502.8,0,0,None
POWER_U_001,Utilities,Power System,2026-01-01 06:00:00,49.23,1.28,,30.0,418.06,,,,,49.9,0.961,,4503.9,2,0,None
POWER_U_001,Utilities,Power System,2026-01-01 08:00:00,45.06,0.79,,30.0,414.96,,,,,50.04,0.951,,4505.2,2,0,None
POWER_U_001,Utilities,Power System,2026-01-01 10:00:00,42.69,1.36,,30.0,428.72,,,,,49.72,0.969,,4506.3,4,0,None
POWER_U_001,Utilities,Power System,2026-01-01 12:00:00,45.21,0.93,,30.0,416.04,,,,,50.16,0.963,,4507.3,5,0,None
POWER_U_001,Utilities,Power System,2026-01-01 14:00:00,51.46,1.8,,30.0,414.71,,,,,50.41,0.988,,4508.5,5,0,None
POWER_U_001,Utilities,Power System,2026-01-01 16:00:00,63.26,1.73,,22.53,417.07,,,,,49.99,0.953,,4509.7,2,0,None
POWER_U_001,Utilities,Power System,2026-01-01 18:00:00,52.76,1.14,,30.0,426.59,,,,,50.07,0.961,,4510.8,7,0,None
POWER_U_001,Utilities,Power System,2026-01-01 20:00:00,51.97,1.52,,28.31,413.44,,,,,50.26,0.979,,4511.9,3,0,None
POWER_U_001,Utilities,Power System,2026-01-01 22:00:00,60.07,0.96,,30.0,413.97,,,,,50.06,0.96,,4512.8,1,0,None
POWER_U_001,Utilities,Power System,2026-01-02 00:00:00,57.84,1.36,,30.0,426.23,,,,,49.72,0.958,,4513.4,7,0,None
POWER_U_001,Utilities,Power System,2026-01-02 02:00:00,52.25,1.41,,30.0,417.02,,,,,50.1,0.95,,4514.8,3,0,None
