machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 00:00:00,77.38,4.17,,11.08,422.51,,130.98,,91.35,,,61.87,4500.8,3,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 02:00:00,64.31,3.24,,11.07,415.64,,139.63,,76.92,,,55.86,4501.4,4,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 04:00:00,79.89,3.85,,10.72,417.14,,159.58,,83.26,,,57.39,4502.8,4,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 06:00:00,60.99,4.76,,7.99,421.68,,144.72,,75.96,,,71.44,4503.9,2,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 08:00:00,64.64,5.43,,10.1,420.11,,53.41,,88.97,,,56.57,4505.2,1,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 10:00:00,78.4,3.3,,10.68,419.3,,111.86,,86.61,,,63.99,4506.4,2,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 12:00:00,71.87,4.27,,10.08,418.18,,138.52,,88.65,,,61.67,4507.8,5,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 14:00:00,61.87,2.26,,12.82,407.43,,185.44,,87.68,,,63.18,4508.4,4,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 16:00:00,78.85,4.39,,12.3,412.03,,179.6,,73.27,,,73.71,4509.5,2,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 18:00:00,68.31,2.89,,10.18,409.14,,122.02,,88.45,,,49.27,4510.9,4,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 20:00:00,79.79,4.2,,12.24,413.84,,151.86,,78.41,,,69.33,4511.6,3,0,None
PRESS_L1_002,Metal Processing,Hydraulic Press,2026-01-01 22:00:00,83.22,4.86,,11.1,418.31,,166.41,,74.16,,,52.34,4512.5,2,0,None
