machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
PUMP_U_001,Utilities,Water Pump,2026-01-01 00:00:00,73.45,3.83,,5.6,414.61,,3.95,40.17,,,,,4501.4,5,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 02:00:00,63.53,1.93,,6.96,419.05,,3.53,55.65,,,,,4502.0,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 04:00:00,56.67,2.35,,6.36,406.13,,5.26,47.38,,,,,4502.8,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 06:00:00,57.65,3.14,,6.33,409.89,,3.85,42.74,,,,,4503.3,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 08:00:00,49.04,3.68,,4.96,413.73,,4.77,54.61,,,,,4504.4,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 10:00:00,53.53,3.33,,6.71,417.05,,3.5,48.79,,,,,4505.3,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 12:00:00,51.98,3.67,,4.79,411.56,,3.88,51.2,,,,,4506.2,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 14:00:00,56.77,2.25,,3.91,411.79,,2.79,38.34,,,,,4507.2,0,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 16:00:00,60.87,3.78,,7.13,417.45,,4.71,32.66,,,,,4507.7,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 18:00:00,56.28,4.3,,4.74,408.52,,3.0,58.44,,,,,4509.1,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 20:00:00,62.31,1.08,,6.04,419.23,,5.4,40.89,,,,,4509.8,1,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-01 22:00:00,77.51,2.31,,5.37,416.23,,3.64,48.62,,,,,4511.2,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 00:00:00,51.1,3.24,,5.53,406.5,,2.37,61.61,,,,,4512.4,4,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 02:00:00,61.62,2.98,,6.42,418.24,,4.73,58.03,,,,,4513.9,4,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 04:00:00,62.03,4.59,,6.85,417.33,,5.13,43.02,,,,,4515.2,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 06:00:00,48.12,2.57,,7.05,414.77,,3.51,57.88,,,,,4516.4,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 08:00:00,46.1,3.7,,7.96,412.7,,4.03,45.16,,,,,4517.2,0,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 10:00:00,53.95,2.9,,3.78,424.64,,4.05,52.12,,,,,4518.1,1,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 12:00:00,60.51,3.24,,8.32,412.88,,3.8,64.02,,,,,4519.4,7,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 14:00:00,66.72,3.23,,6.37,419.95,,5.03,53.07,,,,,4520.8,5,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 16:00:00,55.75,2.83,,5.34,419.09,,4.38,47.45,,,,,4521.8,7,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 18:00:00,67.98,2.53,,3.27,409.5,,3.43,48.72,,,,,4522.4,0,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 20:00:00,56.67,3.79,,7.58,417.69,,3.4,50.67,,,,,4523.2,3,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-02 22:00:00,65.47,1.58,,5.66,411.2,,3.97,46.55,,,,,4524.5,4,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 00:00:00,63.14,2.6,,6.05,427.97,,4.29,55.93,,,,,4525.8,5,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 02:00:00,58.17,1.79,,6.59,414.58,,3.38,41.98,,,,,4527.3,4,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 04:00:00,60.43,2.44,,4.57,411.32,,4.19,50.44,,,,,4527.9,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 06:00:00,59.59,2.53,,6.13,409.56,,4.43,56.15,,,,,4529.3,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 08:00:00,56.7,4.41,,6.31,414.48,,3.76,34.65,,,,,4530.3,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 10:00:00,56.39,2.37,,6.57,417.18,,3.6,33.24,,,,,4531.2,2,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 12:00:00,58.67,2.6,,6.52,410.49,,3.85,41.88,,,,,4532.6,5,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 14:00:00,57.01,3.51,,7.59,419.14,,4.14,45.11,,,,,4533.9,5,0,None
PUMP_U_001,Utilities,Water Pump,2026-01-03 16:00:00,57.42,3.64,,6.13,418.76,,4.04,58.56,,,,,4535.2,2,0,None
