machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 00:00:00,60.99,1.87,,6.04,421.0,,,,62.96,,,11.44,4501.3,4,1,Mechanical Failure
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 02:00:00,50.96,1.49,,3.71,424.69,,,,80.51,,,10.2,4502.2,1,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 04:00:00,51.62,1.34,,3.96,415.36,,,,50.25,,,14.35,4503.0,4,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 06:00:00,61.58,2.85,,5.01,408.19,,,,74.67,,,10.13,4503.9,5,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 08:00:00,60.3,1.89,,4.95,414.96,,,,80.63,,,14.78,4504.9,5,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 10:00:00,51.54,2.13,,5.53,413.82,,,,78.63,,,14.73,4506.1,2,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 12:00:00,54.93,2.37,,6.48,424.83,,,,63.28,,,11.92,4506.8,2,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 14:00:00,42.24,2.43,,6.01,410.82,,,,67.2,,,12.06,4507.6,1,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 16:00:00,66.78,2.32,,4.39,417.92,,,,79.04,,,9.8,4508.6,4,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 18:00:00,71.04,1.39,,5.06,407.43,,,,58.29,,,12.38,4509.1,0,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 20:00:00,57.98,1.58,,5.42,412.1,,,,62.25,,,9.42,4509.7,4,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-01 22:00:00,52.96,2.48,,5.99,412.57,,,,54.2,,,13.07,4510.7,1,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-02 00:00:00,63.33,2.2,,6.27,413.18,,,,46.04,,,7.56,4512.1,1,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-02 02:00:00,56.74,2.44,,7.29,419.91,,,,54.16,,,9.99,4512.9,4,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-02 04:00:00,54.22,1.14,,6.33,414.07,,,,55.69,,,13.01,4513.7,0,0,None
ROBOT_L2_002,Component Assembly,Robotic Arm,2026-01-02 06:00:00,58.89,2.58,,6.19,418.24,,,,60.96,,,10.21,4514.5,4,0,None
