machine_id,production_line,machine_type,timestamp,temperature,vibration,rpm,current,voltage,torque,pressure,flow_rate,load_percentage,frequency,power_factor,cycle_time,operating_hours,maintenance_count,failure,failure_type
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 00:00:00,69.64,4.3,1770.63,11.25,,,7.8,,75.86,,,,4501.0,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 02:00:00,73.34,5.1,1791.96,10.77,,,8.92,,74.84,,,,4501.7,0,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 04:00:00,62.77,4.08,1961.8,6.18,,,8.96,,92.4,,,,4502.2,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 06:00:00,77.98,3.21,1843.4,8.79,,,7.74,,82.53,,,,4503.1,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 08:00:00,77.95,2.62,1822.23,10.54,,,6.16,,86.48,,,,4504.4,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 10:00:00,78.08,3.07,1582.09,10.5,,,6.81,,100.0,,,,4505.5,4,1,Mechanical Failure
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 12:00:00,76.47,3.33,1974.77,8.37,,,7.62,,76.13,,,,4506.3,7,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 14:00:00,79.95,3.93,1949.62,9.56,,,7.34,,78.57,,,,4507.7,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 16:00:00,84.83,3.0,1881.68,11.14,,,7.85,,78.25,,,,4508.5,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 18:00:00,65.24,7.66,1647.67,7.66,,,7.79,,70.17,,,,4509.6,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 20:00:00,69.66,3.76,1799.1,10.55,,,9.45,,69.83,,,,4510.7,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-01 22:00:00,67.69,5.15,2001.23,9.18,,,8.69,,94.0,,,,4511.3,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 00:00:00,66.34,2.25,1951.4,7.53,,,7.69,,54.88,,,,4512.4,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 02:00:00,68.29,2.92,1876.83,8.82,,,10.9,,89.31,,,,4513.6,0,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 04:00:00,69.58,2.24,1862.67,10.61,,,7.71,,84.34,,,,4514.5,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 06:00:00,82.18,4.59,1943.77,7.02,,,8.19,,90.67,,,,4515.2,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 08:00:00,72.64,4.71,1706.94,8.41,,,7.52,,86.57,,,,4515.8,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 10:00:00,75.48,5.17,1533.74,8.93,,,8.71,,62.08,,,,4517.1,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 12:00:00,88.28,3.1,1816.33,9.72,,,8.35,,77.16,,,,4518.4,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 14:00:00,67.99,2.36,1707.07,8.27,,,7.01,,66.75,,,,4519.3,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 16:00:00,77.87,3.51,1681.77,9.47,,,9.1,,76.34,,,,4520.2,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 18:00:00,74.43,4.86,1919.95,9.62,,,8.54,,89.53,,,,4521.5,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 20:00:00,65.35,4.82,1741.63,8.64,,,8.48,,78.69,,,,4522.9,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-02 22:00:00,79.66,4.39,1902.19,8.14,,,9.16,,88.74,,,,4523.6,5,1,Mechanical Failure
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 00:00:00,62.82,3.37,1837.4,10.08,,,7.61,,91.15,,,,4524.5,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 02:00:00,66.21,1.63,1774.92,7.31,,,8.27,,86.16,,,,4525.6,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 04:00:00,87.32,4.86,1721.84,7.27,,,7.82,,78.08,,,,4526.2,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 06:00:00,60.95,3.68,1985.18,5.74,,,8.02,,78.58,,,,4527.1,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 08:00:00,62.62,3.75,1703.24,10.66,,,6.89,,77.54,,,,4527.8,0,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 10:00:00,77.06,5.62,1813.97,9.66,,,7.53,,68.5,,,,4529.0,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 12:00:00,59.21,6.32,1981.71,8.21,,,8.69,,77.03,,,,4530.5,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 14:00:00,71.65,5.67,1875.01,9.27,,,7.72,,69.41,,,,4531.7,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 16:00:00,60.97,1.89,1808.58,8.22,,,6.81,,74.79,,,,4533.1,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 18:00:00,75.94,2.68,1801.96,8.83,,,7.12,,69.13,,,,4534.6,0,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 20:00:00,71.75,3.9,1713.59,7.76,,,9.23,,72.72,,,,4535.9,5,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-03 22:00:00,85.64,4.93,1757.93,10.35,,,6.88,,77.91,,,,4537.2,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 00:00:00,67.78,2.28,1792.78,7.62,,,8.35,,75.98,,,,4538.7,2,1,Mechanical Failure
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 02:00:00,94.4,5.91,1952.77,6.84,,,8.91,,78.22,,,,4539.3,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 04:00:00,69.55,3.93,1644.0,7.88,,,8.18,,82.14,,,,4540.3,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 06:00:00,78.12,3.85,2002.83,10.16,,,9.44,,99.9,,,,4541.1,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 08:00:00,61.62,3.0,1699.75,8.61,,,7.33,,77.37,,,,4541.6,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 10:00:00,82.3,3.67,1916.13,8.78,,,8.14,,79.75,,,,4542.4,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 12:00:00,82.16,4.26,1693.82,9.9,,,7.74,,79.0,,,,4543.9,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 14:00:00,84.23,3.9,1893.82,10.24,,,8.25,,89.69,,,,4545.1,0,1,Mechanical Failure
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 16:00:00,77.55,3.16,1747.03,8.49,,,10.26,,88.72,,,,4545.7,3,1,Mechanical Failure
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 18:00:00,66.6,3.44,1884.91,8.36,,,8.28,,89.5,,,,4547.2,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 20:00:00,73.5,3.1,1448.59,8.96,,,8.07,,72.47,,,,4548.1,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-04 22:00:00,72.18,4.9,1773.94,8.35,,,7.69,,84.11,,,,4548.7,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 00:00:00,70.51,4.11,1904.38,7.27,,,8.45,,81.09,,,,4549.7,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 02:00:00,64.05,3.12,1674.13,7.69,,,9.18,,58.39,,,,4550.6,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 04:00:00,70.97,3.65,1622.41,10.2,,,5.47,,83.01,,,,4551.2,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 06:00:00,76.24,3.0,1812.19,11.03,,,5.79,,69.86,,,,4552.0,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 08:00:00,82.35,4.78,1762.51,8.58,,,8.8,,81.25,,,,4553.1,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 10:00:00,75.55,3.98,1680.05,6.7,,,9.0,,81.5,,,,4554.0,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 12:00:00,67.55,6.34,1598.37,7.99,,,8.21,,84.97,,,,4554.8,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 14:00:00,87.25,2.14,1922.6,5.78,,,8.16,,67.78,,,,4555.4,6,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 16:00:00,68.77,2.14,1704.5,9.21,,,8.09,,76.21,,,,4556.2,0,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 18:00:00,68.89,3.2,1775.55,10.44,,,7.18,,86.28,,,,4557.5,2,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 20:00:00,85.34,6.45,1787.6,8.48,,,8.34,,73.54,,,,4558.2,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-05 22:00:00,71.31,2.4,1814.56,9.53,,,7.23,,61.51,,,,4559.3,1,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 00:00:00,80.1,5.0,1632.63,7.78,,,10.02,,72.86,,,,4560.0,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 02:00:00,66.26,3.63,1854.89,8.53,,,6.97,,81.05,,,,4560.5,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 04:00:00,57.65,4.11,1804.8,8.43,,,6.9,,70.48,,,,4561.9,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 06:00:00,58.05,4.53,1815.44,11.25,,,7.93,,78.52,,,,4563.2,3,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 08:00:00,78.6,3.7,1930.42,9.69,,,8.07,,66.07,,,,4564.1,4,0,
AIRCOMP_U_001,Utilities,Air Compressor,2026-01-06 10:00:00,69.13,3.29,1975.85,8.73,,,7.4,,97.45,,,,4565.4,3,0,
